t,x,y,yaw,speed,target_y,steering,left_wheel,right_wheel
0.050,2.2997,-0.0000,-0.0001,0.0062,0.00,0.0000,0.0000,0.0000
0.100,2.2987,-0.0000,-0.0003,0.0194,0.00,0.0000,0.0000,0.0000
0.200,2.2968,-0.0000,-0.0002,0.0198,0.00,0.0000,0.0000,0.0000
0.350,2.2935,0.0000,-0.0000,0.0232,0.00,0.0000,0.0000,0.0000
0.450,2.2911,0.0000,0.0000,0.0247,0.00,0.0000,0.0000,0.0000
0.550,2.2885,0.0000,0.0001,0.0259,0.00,0.0000,0.0000,0.0000
0.600,2.2872,0.0000,0.0001,0.0264,0.00,0.0000,0.0000,0.0000
0.700,2.2845,0.0001,0.0001,0.0271,0.00,0.0000,0.0000,0.0000
0.800,2.2817,0.0001,0.0001,0.0276,0.00,0.0000,0.0000,0.0000
0.900,2.2789,0.0001,0.0001,0.0280,0.00,0.0000,0.0000,0.0000
1.000,2.2761,0.0001,0.0001,0.0284,0.00,0.0000,0.0000,0.0000
1.100,2.2733,0.0001,0.0002,0.0286,0.00,0.0000,0.0000,0.0000
1.200,2.2704,0.0001,0.0002,0.0287,0.00,0.0000,0.0000,0.0000
1.300,2.2675,0.0001,0.0002,0.0289,0.00,0.0000,0.0000,0.0000
1.400,2.2646,0.0001,0.0002,0.0290,0.00,0.0000,0.0000,0.0000
1.500,2.2617,0.0001,0.0002,0.0290,0.00,0.0000,0.0000,0.0000
1.600,2.2588,0.0001,0.0002,0.0291,0.00,0.0000,0.0000,0.0000
1.700,2.2559,0.0001,0.0002,0.0291,0.00,0.0000,0.0000,0.0000
1.800,2.2530,0.0001,0.0002,0.0291,0.00,0.0000,0.0000,0.0000
1.900,2.2501,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.000,2.2471,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.100,2.2442,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.250,2.2399,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.350,2.2369,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.450,2.2340,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.550,2.2311,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.650,2.2282,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.750,2.2252,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.850,2.2223,0.0001,0.0002,0.0292,0.00,0.0000,0.0000,0.0000
2.950,2.2194,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.050,2.2165,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.150,2.2136,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.250,2.2106,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.350,2.2077,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.450,2.2048,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.550,2.2019,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.650,2.1989,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.750,2.1960,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.850,2.1931,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
3.950,2.1902,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.050,2.1873,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.150,2.1843,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.250,2.1814,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.350,2.1785,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.450,2.1756,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.550,2.1726,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.650,2.1697,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.750,2.1668,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.850,2.1639,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
4.950,2.1609,0.0001,0.0003,0.0292,0.00,0.0000,0.0000,0.0000
5.050,2.1580,0.0001,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.150,2.1551,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.250,2.1522,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.350,2.1493,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.450,2.1463,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.550,2.1434,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.650,2.1405,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.750,2.1376,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.850,2.1346,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
5.950,2.1317,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.050,2.1288,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.150,2.1259,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.250,2.1230,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.350,2.1200,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.450,2.1171,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.550,2.1142,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.650,2.1113,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.750,2.1083,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.850,2.1054,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.950,2.1025,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
7.050,2.0996,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
7.150,2.0966,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.250,2.0937,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.350,2.0908,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.450,2.0879,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.550,2.0850,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.650,2.0820,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.750,2.0791,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.850,2.0762,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.950,2.0733,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.050,2.0703,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.150,2.0674,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.250,2.0645,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.350,2.0616,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.450,2.0586,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.500,2.0572,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.600,2.0543,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.700,2.0513,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.800,2.0484,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.900,2.0455,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
9.000,2.0426,-0.0000,0.0006,0.0292,0.00,0.0000,0.0000,0.0000
9.100,2.0396,-0.0000,0.0006,0.0292,0.00,0.0000,0.0000,0.0000
9.200,2.0367,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.300,2.0338,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.400,2.0309,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.500,2.0279,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.600,2.0250,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.700,2.0221,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.800,2.0192,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.900,2.0162,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.000,2.0133,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.100,2.0104,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.200,2.0075,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.300,2.0045,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.400,2.0016,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.500,1.9987,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.600,1.9957,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.700,1.9928,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.800,1.9899,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.900,1.9870,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.000,1.9840,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.100,1.9811,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.200,1.9782,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.300,1.9752,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
